genus,species,CRS_11,CRS_17,CRS_21,CRS_26,CRS_27,CRS_31,CRS_33,CRS_39,CRS_42,CRS_45,CRS_47,CRS_48,CRS_49,CRS_53,CRS_57,CRS_58,CRS_66,CRS_74,CRS_7,CRS_9
Abiotrophia,Abiotrophia_defectiva,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
Achromobacter,Achromobacter_xylosoxidans,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Acinetobacter,Acinetobacter_baumannii,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_baylyi,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_calcoaceticus,0.605633803,0,0,0.23943662,0.09375,0.39516129,0,0,0,0,0,0,0,0.295302013,0,0,0,0,0,0.084745763
Acinetobacter,Acinetobacter_haemolyticus,0,0,0,0,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_johnsonii,0.338028169,0,0,0,0.203125,0.048387097,0.108108108,0,0,0,0,0,0,0,0,0,0,0,0,0.062146893
Acinetobacter,Acinetobacter_junii,0,0,0,0,0,0.540322581,0.891891892,0,0,0,1,0,0,0,0,0,0,0,0,0.175141243
Acinetobacter,Acinetobacter_lwoffii,0,0,0,0.38028169,0.265625,0,0,0,0,0,0,0,0.524590164,0.006711409,0,0,0,0,0,0.06779661
Acinetobacter,Acinetobacter_radioresistens,0,0,0,0.38028169,0,0,0,0,0,0,0,0.142857143,0.409836066,0.496644295,0,0,0,0,0,0.604519774
Acinetobacter,Acinetobacter_rhizosphaerae,0.056338028,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_ursingii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Acinetobacter,Acinetobacter_venetianus,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0
Actinobacillus,Actinobacillus_indolicus,0.047619048,0,0.193548387,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0
Actinobacillus,Actinobacillus_minor,0.380952381,0,0.161290323,0,0,0.259259259,0.0625,0,0,0,0,0.083333333,0.1875,0.591836735,0,0,0.28,0,0,0
Actinobacillus,Actinobacillus_porcinus,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0.5,0.306122449,0,0,0.16,0,0,0
Actinobacillus,Haemophilus_parasuis,0.571428571,0,0.64516129,0,0,0.703703704,0.9375,0,0,0,0,0.875,0.3125,0.102040816,0,0,0.56,0,0,0
Actinomyces,Actinomyces_bowdenii,0.061135371,0.041666667,0.08056872,0,0.057788945,0.050147493,0.055727554,0.00795756,0,0.055555556,0.019277108,0.15942029,0.01183432,0.036809816,0.038585209,0.048192771,0,0,0,0.016018307
Actinomyces,Actinomyces_georgiae,0,0,0,0,0,0,0.009287926,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,Actinomyces_israelii,0.004366812,0,0,0,0,0.017699115,0,0,0.00212766,0.002525253,0,0,0,0,0,0,0,0.003236246,0,0
