genus,species,CRS12,CRS14,CRS21,CRS31,CRS38,CRS40,CRS46,CRS49,CRS52,CRS54,CRS59,CRS62,CRS66,CRS73,CRS9,CRSwNP1,CRSwNP13,CRSwNP16,CRSwNP24,CRSwNP27,CRSwNP30,CRSwNP39,CRSwNP42,CRSwNP45,CRSwNP47,CRSwNP48,CRSwNP57,CRSwNP69,CRSwNP72,CRSwNP74,CRSwNP79,control11,control17,control26,control33,control35,control53,control58,control7,control71
Abiotrophia,Abiotrophia_defectiva,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Achromobacter,Achromobacter_xylosoxidans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Acidovorax,Acidovorax_defluvii,0.416666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidovorax,Acidovorax_delafieldii,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_baylyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_calcoaceticus,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0,0,0.75,0,0,0,0,0,0.295302013,0,0,0,0,0,0,0,0.23943662,0,0.605633803,0.084745763,0,0,0,0,0.39516129,0,0
Acinetobacter,Acinetobacter_haemolyticus,0,0,0,0,0,1,0,0,0,0,0,0,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_johnsonii,0,0.166666667,0,0,1,0,0.153846154,0,0,0,0,1,0.203125,0,0,0,0,0,0,0,1,0,0,0,0,0,0.108108108,0.153846154,0,0,0,0.338028169,0.062146893,0,0,0,0,0.048387097,0,0
Acinetobacter,Acinetobacter_junii,0,0.833333333,0,0,0,0,0.846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.891891892,0.846153846,0,0,0,0,0.175141243,0,0,0,0,0.540322581,0,0
Acinetobacter,Acinetobacter_lwoffii,0,0,0,0,0,0,0,0,0,0,1,0,0.265625,0,0,0,0,0,0,0,0,0.006711409,0.524590164,0,0,0,0,0,0,0.38028169,0,0,0.06779661,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_radioresistens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496644295,0.409836066,0.142857143,0,0,0,0,0,0.38028169,0,0,0.604519774,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_rhizosphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056338028,0,0,0,0,0,0.016129032,0,0
Acinetobacter,Acinetobacter_ursingii,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acinetobacter,Acinetobacter_venetianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacillus,Actinobacillus_indolicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0.193548387,0
Actinobacillus,Actinobacillus_minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.591836735,0.1875,0.083333333,0,0,0.0625,0,0,0,0,0.380952381,0,0,0,0,0,0.259259259,0.161290323,0
Actinobacillus,Actinobacillus_porcinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.306122449,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0
Actinobacillus,Haemophilus_parasuis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.102040816,0.3125,0.875,0,0,0.9375,0,0,0,0,0.571428571,0,0,0,0,0,0.703703704,0.64516129,0
Actinomyces,Actinomyces_bowdenii,0,0,0,0.048192771,0,0,0,0,0,0,0,0,0.057788945,0,0.041666667,0,0,0,0,0,0,0.036809816,0.01183432,0.15942029,0.019277108,0.055555556,0.055727554,0,0,0,0,0.061135371,0.016018307,0,0.038585209,0,0.00795756,0.050147493,0.08056872,0
Actinomyces,Actinomyces_cardiffensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0
