Taxon,Level,CRS_11,CRS_17,CRS_21,CRS_26,CRS_27,CRS_31,CRS_33,CRS_39,CRS_42,CRS_45,CRS_47,CRS_48,CRS_49,CRS_53,CRS_57,CRS_58,CRS_66,CRS_74,CRS_7,CRS_9
Abiotrophia,genus,0.00648349,0.003815172,0,0,0,0,0.004011079,0,0.013481835,0,0.003664586,0.014304372,0,0,0.002296014,0,0,0,0,0
Achromobacter,genus,0,0,0.010385693,0,0,0,0,0,0,0,0,0,0,0.008139009,0,0,0,0.009836032,0,0
Acinetobacter,genus,0.016222975,0.001919583,0,0.013454633,0.005806206,0.02207525,0.010618442,0,0,0,0.000123402,0.002578695,0.005330554,0.014087239,0,0,0,0,6.70E-05,0.032324562
Actinomyces,genus,0.050079619,0.005453673,0.037858058,0.05120823,0.053454028,0.049500596,0.039120733,0.05152214,0.068092905,0.063952443,0.072478587,0.052756011,0.009197584,0.015831444,0.053767337,0.020294833,0.011031714,0.068587035,0.000955337,0.07743213
Actinomycetales,order,0,0.032392966,0,0,0.001826074,0.011256376,0.011653366,0.002197324,0.006503154,0,0,0.039945947,0.000725756,0.003168119,0.001502562,0.000400802,0.000573338,0.003871043,0.000244874,0.000346731
Akkermansia,genus,0,0,0,0,0.007101891,0,0,0.009749859,0.019401504,0.007837918,0,0,0,0,0.013195052,0,0,0,0,0
Alcaligenaceae,family,0,0,0.016892392,0,0,0,0,0,0,0,0,0,0,0.008009063,0,0,0,0,0,0
Alistipes,genus,0.013287593,0,0,0,0,0,0,0.018853446,0.019229286,0,0,0,9.51E-05,0,0,0,0,0,0.000125182,0.002627573
Alloprevotella,genus,0,0.012107085,0,0.006927631,0.003581232,0,0.018565822,0.005585148,0.007505616,0.013452314,0.017139596,0.003579668,0,0.006964005,0,0.005028759,0.004425116,0,0.000354683,0.000249213
Alteromonadaceae,family,0,0,0,0,0,0,0,0.009247808,0,0,0,0,0,0.01530983,0,0,0,0,0,0
Anaerococcus,genus,0.001417818,0.000582731,0,0,0,0,0.004043981,0,0,0,0,0,0.027954128,0.001339724,0,0,0,0,0.000205343,0.001893478
Anaeroglobus,genus,0.044141169,0.002930792,0.004652817,0,0.00995033,0.036571006,0,0,0.012271169,0.019573541,0.036388036,0,0.000974015,0.003477427,0.009034112,0,0,0,0.000115299,0.007029434
Aquabacterium,genus,0,0,0,0,0,0,0,0,0,0.01010068,0,0,0,0.000296496,0,0,0,0,0,0.008378435
Bacteria,kingdom,0.028327865,0.027679704,0.06130325,0.132956262,0.282366273,0.082266727,0.041247413,0.2418648,0.078793549,0.03808437,0.099135528,0.149757383,0.037299866,0.102148501,0.076112083,0.122018096,0.132879324,0.075419908,0.010800803,0.070874034
Bacteroides,genus,0.052772761,0.000781545,0,0,0.022351676,0.021516737,0.011432024,0,0.017363164,0.036678318,0,0.010953498,0.012832371,0.00944579,0.010992753,0.005879059,0.001302053,0,0.000233893,0
Bacteroidetes,phylum,0.005689085,0.000812395,0,0,0.008846707,0.000546878,0,0,0.007940017,0.027650161,0.014880906,0,0,0.015189035,0,0,0.001760413,0.01394471,7.80E-05,0.008662863
Betaproteobacteria,class,0,5.48E-05,0,0,0,0.000574804,0,0,0,0,0,0,0,0.00554009,0.012735849,0,0,0,0,0
Bifidobacterium,genus,0,0,0.009677727,0.004837397,0,0,0,0,0.024115648,0.015165734,0.013276686,0.003198345,0,0.005088025,0,0,0.000963333,0.006819098,0.00010322,0
Bradyrhizobium,genus,0.000808655,0,0,0.023699265,0,0,0,0,0.005354178,0,0,0,0,0.002304253,0,0,0,0.003230461,0,0
Brucella,genus,0,0,0,0,0,0.001056522,0.002691999,0.000783689,0,0.002419716,0,0.000452821,0.000435454,0.010062575,0,0,0,0,0,0
Campylobacter,genus,0,0,0.028539253,0.03329692,0,0.003769967,0.006481736,0,0.012026979,0.011035867,0,0,0.002100188,0.019453458,0,0,0.002010569,0.013359232,7.58E-05,0.016564543
Capnocytophaga,genus,0,0.006351764,0.011880653,0.014892913,0.004446992,0,0.00533315,0,0,0,0.008131282,0.014788175,0,4.21E-05,0.020173685,0.003534178,0,0,0.000162517,0
