Taxon,Level,S0002,S0004,S0006,S0010,S0013,S0014,S0020,S0021,S0023,S0028,S0033,S0036,S0045,S0047,S0049,S2450,S2772,S4431,S4804,S5295,S7373,S8014,S8090,S8807,Z0011,Z0022,Z0023,Z0026,Z0027
Actinobacteria,class,0,0,0,0.015306122,0.044661075,0,0.011588706,0,0,0.006209637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00843437,0,0.010010123,0,0,0.012524381,0,0.02265536,0,0,0,0,0
Alloprevotella,genus,0,0,0.004896201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010015814,0,0,0,0,0,0,0,0,0,0,0,0
Anaerostipes,genus,0.033432921,0.003873381,0.02075989,0.024489796,0.014962594,0.12574184,0,0.014134908,0,0,0,0.172048013,0,0.010071942,0.014589666,0,0,0,0,0,0,0.00266913,0.010532533,0,0,0,0.079305136,0.069364162,0.126146789
Bacteria,kingdom,0.042538057,0.007479631,0.031139835,0.06462585,0.073452732,0.020956973,0.108301728,0.004651995,0,0.081470442,0.058107168,0.006699544,0,0.08057554,0.058054711,0.015619985,0.023194518,0.081557923,0.00922281,0.002293578,0.045824176,0.008828662,0.020966631,0.027591444,0.074516822,0.008792497,0.056646526,0.018411475,0.002803262
Bacteroidales,order,0.018494807,0,0,0,0,0,0.006531816,0,0,0,0,0,0,0.023501199,0,0.012410399,0.09725883,0.003994674,0.008435497,0.002580275,0.01967033,0.010368545,0.003642091,0.023794456,0,0,0,0,0
Bacteroides,genus,0,0,0.010967489,0,0,0,0,0,0,0,0,0,0.013340088,0.043165468,0,0.080453621,0.120848708,0.015423879,0.01540884,0.478927752,0.211538462,0.705677035,0.459100305,0.215795469,0,0,0,0,0.116207951
Bacteroidetes,phylum,0,0,0.005483745,0,0,0,0,0,0,0,0.011482255,0,0,0.018705036,0,0.001925752,0.010542963,0.005770084,0.021032505,0,0.004175824,0,0.000590609,0.00101253,0,0,0.021148036,0,0
Bifidobacteriaceae,family,0,0,0,0.008843537,0.007027885,0,0.034766119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacterium,genus,0,0,0.008225617,0.174489796,0.159374292,0,0.356300042,0,0,0.085941381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blautia,genus,0.027884479,0.377721384,0.014296906,0.047959184,0.079573793,0.197329377,0,0.079978529,0.003353147,0.109538003,0,0.005582953,0.032759203,0.011990408,0.059574468,0,0.003162889,0,0,0,0,0.008623345,0.005610788,0.00303759,0.003078024,0.021688159,0,0.057803468,0.080275229
Butyricicoccus,genus,0,0,0.004504505,0,0,0,0,0,0,0,0,0,0,0,0.007598784,0,0,0,0,0,0,0,0,0,0,0,0.020392749,0,0
Butyricimonas,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011070111,0,0,0,0,0.002874448,0,0,0,0,0,0,0
Catenibacterium,genus,0.074975103,0.22519033,0.030748139,0.048639456,0,0,0,0,0,0.355439642,0,0,0,0.039808153,0.392097264,0,0.006457565,0,0,0,0,0,0,0,0.017680744,0.014654162,0.105740181,0,0
Citrobacter,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015682657,0,0,0,0,0,0,0,0,0,0,0,0
Clostridiaceae 1,family,0,0,0.049157854,0,0,0,0,0.007514761,0,0,0.026791928,0,0,0.006235012,0,0,0,0,0,0.001433486,0.003296703,0,0,0,0.00071582,0,0,0.006208521,0
Clostridiales,order,0.05875658,0.024308802,0.034273404,0.054081633,0.024030832,0.012054896,0,0.01180891,0,0.013661202,0.111691023,0.014887876,0.010469436,0.01822542,0.054103343,0.007275062,0,0.022414558,0,0.001648509,0,0.003285084,0.009154444,0.008986204,0.01932713,0.011137163,0.049093656,0.043887818,0.031345566
