Taxon,Level,CRS12,CRS14,CRS21,CRS31,CRS38,CRS40,CRS46,CRS49,CRS52,CRS54,CRS59,CRS62,CRS66,CRS73,CRS9,CRSwNP1,CRSwNP13,CRSwNP16,CRSwNP24,CRSwNP27,CRSwNP30,CRSwNP39,CRSwNP42,CRSwNP45,CRSwNP47,CRSwNP48,CRSwNP57,CRSwNP69,CRSwNP72,CRSwNP74,CRSwNP79,control11,control17,control26,control33,control35,control53,control58,control7,control71
Abiotrophia,genus,0,0,0,0,0,0,0,0.013481835,0,0,0,0,0,0,0.003815172,0,0,0,0,0,0,0,0,0.014304372,0.003664586,0,0.004011079,0,0,0,0,0.00648349,0,0,0.002296014,0,0,0,0,0.000684268
Achromobacter,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008139009,0,0,0,0,0,0,0,0,0,0,0,0.009836032,0,0,0,0,0.010385693,0
Acidimicrobiales,order,0,0,0,0,0.000142454,0,0,0,0,0,0,0.006337333,0,0,0,0,0,0,0.0085288,0,0.000206025,0,0,0,0,0,0,0,0,0,0.011770989,0,0,0,0,0,0,0,0,0
Acidobacteria_Gp3,class,0.004678337,0,0,0,0,0.005949425,0.004037564,0,0.002998541,0.008702173,0,0.004402131,0,0.002866045,0,0,0,0,0,0,0.000136382,0,0,0,0,0,0,0.010178182,0.00866073,0,0.00901408,0,0,0,0,0,0,0,0,0.003214306
Acidobacteria_Gp4,class,0.000762532,0,0,0,0,0.003823354,0.003839291,0,0,9.64E-05,0.009946603,0.015062017,0,0,0,0.000726214,0.010929751,0,0,0,0.000237944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004428304,0,0,0,0
Acidovorax,genus,0.013747679,0,0,0,0,0,0,0,0,0,0.005229424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,genus,0,0.007336201,6.70E-05,0,5.77E-05,0.028081998,0.006114926,0,0,0,0.002386147,0.003863169,0.005806206,0,0.001919583,0.001581884,0,0,0,0,8.42E-05,0.014087239,0.005330554,0.002578695,0.000123402,0,0.010618442,0.003276582,0,0.013454633,0.009533707,0.016222975,0.032324562,0,0,0,0,0.02207525,0,0
Actinobacteria,class,9.58E-05,0.020854094,0,0,7.29E-05,0.00903312,0.000301916,0,0.002368511,0.001564034,0.004292472,0.013918982,0,0.028064959,0,0.001360862,0,0.000354111,0.005938809,0,0.002576759,0,0,0,0,0,0,0.014816543,0.010609579,0,0.009779086,0,0,0,0,0.010719188,0,0,0,0
Actinobacteria,phylum,0.019078036,0.009811309,0,0,0,0.008500709,0,0,0.000431251,0.010744702,0,0.000871745,0,0.010834111,0,0,0.003766709,0.000496313,0,0,0.001352218,0,0,0,0,0,0,0.00106449,0.013490326,0,0,0,0,0,0,0.005527899,0,0,0,0.00128081
Actinomyces,genus,0,0,0.000955337,0.020294833,0,0,0.024392112,0.068092905,0,0,0,0,0.053454028,0,0.005453673,0,0,0,0,0.011031714,0.000171204,0.015831444,0.009197584,0.052756011,0.072478587,0.063952443,0.039120733,0.002442252,0,0.05120823,0,0.050079619,0.07743213,0.068587035,0.053767337,0,0.05152214,0.049500596,0.037858058,0.000561451
Actinomycetales,order,0.01632629,0,0.000244874,0.000400802,0.000156021,0.010105089,0.000211792,0.006503154,0.017216343,0.005184881,0.008137541,0,0.001826074,0.021545282,0.032392966,0,0.011629759,0.001385771,0.006045686,0.000573338,0.000713832,0.003168119,0.000725756,0.039945947,0,0,0.011653366,0.001051703,0.000510325,0,0,0,0.000346731,0.003871043,0.001502562,0.02648006,0.002197324,0.011256376,0,0.024914379
Agromyces,genus,0,0,0,0,0,0,0,0,0,0,0.019215619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia,genus,0,0,0,0,0,0,0,0.019401504,0,0.006363263,0,0,0.007101891,0,0,0,0,0,0.003630262,0,0,0,0,0,0,0.007837918,0,0.012879364,0,0,0,0,0,0,0.013195052,0,0.009749859,0,0,0
Alcaligenaceae,family,0,0,0,0,0,0,0.005984246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008009063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016892392,0
Alcanivorax,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000530452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034225851,0,0,0,0
Alistipes,genus,0,0,0.000125182,0,0,0,0,0.019229286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51E-05,0,0,0,0,0,0,0,0,0.013287593,0.002627573,0,0,0,0.018853446,0,0,0
Alloprevotella,genus,0,0,0.000354683,0.005028759,0,0,0,0.007505616,0,0,0,0,0.003581232,0,0.012107085,0,0,0,0.007912475,0.004425116,0,0.006964005,0,0.003579668,0.017139596,0.013452314,0.018565822,0,0,0.006927631,0,0,0.000249213,0,0,0,0.005585148,0,0,0
Alphaproteobacteria,class,0.008402587,0.02230027,0,0,9.67E-05,0.026920699,0,0,0.017172544,0.048867146,0.005025175,0.012142937,0,0.008940063,0,0.000265226,0.039441179,0.000401511,0.005960185,0,0.001848418,0,0,0,0,0,0,0.010724812,0.012750725,0,0.015184648,0,0,0,0,0.022964345,0,0,0,0.016145219
Alteromonadaceae,family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01530983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009247808,0,0,0
Aminobacter,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012662293,0,0,0,0,0,0,0,0,0
Anaerococcus,genus,0,0,0.000205343,0,0,0,0.02460841,0,0,0.008934278,0.001799337,0,0,0,0.000582731,0,0.003507446,0,0,0,0.003319608,0.001339724,0.027954128,0,0,0,0.004043981,0.005980961,0.004004941,0,0,0.001417818,0.001893478,0,0,0.002461,0,0,0,0.01734532
Anaeroglobus,genus,0,0,0.000115299,0,0,0,0,0.012271169,0,0,0,0,0.00995033,0,0.002930792,0,0,0,0,0,0,0.003477427,0.000974015,0,0.036388036,0.019573541,0,0,0,0,0,0.044141169,0.007029434,0,0.009034112,0,0,0.036571006,0.004652817,0
Anaerolineaceae,family,0,0,0,0,0.000118711,0.011041274,0.001469024,0,0.002031596,0.016311664,0.003592189,0.011499076,0,0.003200289,0,0.001692395,0.000755564,0.000602267,0.015101747,0,0.001363825,0,0,0,0,0,0,0.006377347,0,0,0,0,0,0,0,0.004600349,0,0,0,0.005519763
Aquabacterium,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000296496,0,0,0,0.01010068,0,0,0,0,0,0,0.008378435,0,0,0,0,0,0,0
Arenimonas,genus,0,0.006611088,0,0,0,0,0,0,0,0.002224642,0,0,0,0,0,0,0.001844465,0,0.00184185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01196592
Bacillaceae 1,family,0,0,0,0,0,0,0.000630869,0,0,0.004892071,0.007278398,0,0,0,0,0.000375737,0,3.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002670447,0,0,0,0.011106198
Bacillales,order,0.004424159,0.00186747,0,0,0,0.006174538,0.013978262,0,0.000707521,0.000482065,0.003527348,0.004199568,0,0,0,0.000767261,0.008051941,0.000398723,0.00107946,0,0.000417853,0,0,0,0,0,0,0.003637805,0,0,0.002110984,0,0,0,0,0.000441334,0,0,0,0.008997249
Bacillariophyta,genus,0,0,0,0,0.00027134,0,0,0,0,0,0.01198261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus,genus,0,0.002199645,0,0,0,0.00735013,0.001460012,0,0.000939992,0.001728294,0.003588947,0.006293926,0,0,0,0.000176817,0.00333337,0,0.000356257,0,0,0,0,0,0,0,0,0,0,0,0.003651821,0,0,0,0,0.000714363,0,0,0,0.014015215
Bacteria,kingdom,0.213792621,0.176546841,0.010800803,0.122018096,0.007702666,0.129086433,0.147033112,0.078793549,0.226605483,0.243557285,0.188243037,0.27410411,0.282366273,0.215452824,0.027679704,0.031634519,0.16548332,0.026505319,0.098772337,0.132879324,0.045574968,0.102148501,0.037299866,0.149757383,0.099135528,0.03808437,0.041247413,0.154136804,0.207661529,0.132956262,0.208290933,0.028327865,0.070874034,0.075419908,0.076112083,0.189635376,0.2418648,0.082266727,0.06130325,0.238630622
Bacteroidales,order,0,0,0,0,0.002791411,0.01334958,0.002874962,0,0.001431888,0,0.006471128,0,0,0,0,0,0,0.000418241,0.008931371,0,0,0,0,0,0,0,0,0,0.002026507,0,0.003114152,0,0,0,0,0.011336308,0,0,0,0.007028662
Bacteroides,genus,0,0.019788704,0.000233893,0.005879059,0,0,0,0.017363164,0,0.001199807,0,0,0.022351676,0,0.000781545,0,0.002496324,0,0.004171773,0.001302053,0,0.00944579,0.012832371,0.010953498,0,0.036678318,0.011432024,0,0,0,0,0.052772761,0,0,0.010992753,0.004806056,0,0.021516737,0,0.014534557
Bacteroidetes,phylum,0.033234609,0.002580431,7.80E-05,0,0.000858113,0.018838058,0.02349087,0.007940017,0.020932513,0.026938528,0.048935474,0.025418058,0.008846707,0.026101756,0.000812395,0.000896717,0,0.000744469,0.012223188,0.001760413,0.00469504,0.015189035,0,0,0.014880906,0.027650161,0,0.052738583,0.021167387,0,0.02587669,0.005689085,0.008662863,0.01394471,0,0.011590636,0,0.000546878,0,0.013229184
Betaproteobacteria,class,0.015254325,0,0,0,8.31E-05,0,0.009138593,0,0.00904953,0.006823903,0.016521477,0.013148519,0,0.000545547,5.48E-05,0.001187202,0.030370708,0.000186814,0.002682617,0,0.003296394,0.00554009,0,0,0,0,0,0.026011265,0.000580587,0,0.00974661,0,0,0,0.012735849,0.011168003,0,0.000574804,0,0.021647437
Bifidobacterium,genus,0,0,0.00010322,0,0,0.006817719,0,0.024115648,0,0,0,0,0,0.003515323,0,0,0,0.00022585,0,0.000963333,0,0.005088025,0,0.003198345,0.013276686,0.015165734,0,0,0,0.004837397,0,0,0,0.006819098,0,0,0,0,0.009677727,0
Bradyrhizobiaceae,family,0.008465211,0,0,0,0,0,0,0,0,0.009202093,0,0,0,0.00185563,0,0,0.005574136,0,0.001888164,0,0,0,0,0,0,0,0,6.39E-05,0.013194486,0,0,0,0,0,0,0.000100983,0,0,0,0
Bradyrhizobium,genus,0,0,0,0,0,0,0,0.005354178,0,0.000474924,0,0,0,0,0,0,0,0,0,0,0,0.002304253,0,0,0,0,0,0,0.00144592,0.023699265,0,0.000808655,0,0.003230461,0,0.006070217,0,0,0,0
Brevundimonas,genus,0,0.010589084,0,0,0,0,0,0,0,0.00597404,0.023342746,0,0,0.008398357,0,0.000189447,0.000196298,0,0,0,0.000261158,0,0,0,0,0,0,0,0,0,0.022253737,0,0,0,0,0.006073957,0,0,0,0.011899248
Brucella,genus,0.002924881,0.011030633,0,0,0.00019333,0,0,0,0.001441995,0,0,0.003255479,0,0.005213436,0,0,0,0,0,0,0.002774078,0.010062575,0.000435454,0.000452821,0,0.002419716,0.002691999,0.010312442,0.004689072,0,0.013315435,0,0,0,0,0,0.000783689,0.001056522,0,0
Burkholderia,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019442118,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderiales,order,0,0,0,0,0,0,0.004790101,0,0.025342727,0.005645521,0.015046345,0,0,0.00271237,0,0.001092479,0,0,0,0,0.000786376,0,0,0,0,0,0,0,0.007743625,0,0,0,0,0,0,0.005494238,0,0,0,0.001512408
Campylobacter,genus,0,0,7.58E-05,0,0,0,0.004790101,0.012026979,0,0,0,0,0,0,0,0,0,0,0.00207698,0.002010569,0,0.019453458,0.002100188,0,0,0.011035867,0.006481736,0,0.006364268,0.03329692,0,0,0.016564543,0.013359232,0,0,0,0.003769967,0.028539253,0
Candidatus Hydrogenedens,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010192517,0,0,0,6.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Pelagibacter,genus,0,0,0,0,0,0,0,0,0.011583129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnocytophaga,genus,0,0,0.000162517,0.003534178,0,0,0.006709746,0,0,0,0.011681099,0,0.004446992,0,0.006351764,0,0,0,0,0,0,4.21E-05,0,0.014788175,0.008131282,0,0.00533315,0,0,0.014892913,0,0,0,0,0.020173685,0,0,0,0.011880653,0
Cardiobacterium,genus,0,0,9.55E-05,0.003595984,0,0,0,0,0,0,0,0,0.010275359,0,0,0,0,0,0,0,0,0.00236465,0,0.014292456,0,0,0,0,0,0,0,0,0,0,0,0,0.027882202,0.015675615,0,0
Caulobacter,genus,0,0,0,0,0,0,0,0,0.011923413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003084782,0,0,0,0,0,0,0,0.000415153,0,0,0,0
Cellvibrio,genus,0.031193823,0.01448201,0,0,0,0,0,0,0,0.000467782,0,0,0,0,0,0,0,0,0,0,0.000203123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175786,0,0,0,0
Chitinophagaceae,family,0.006015531,0,0,0,0.000137366,0.009987172,0,0,0.002422417,0.009773429,0.00313506,0.010916707,0,0.022836155,0,0.001708182,0,0.000267674,0.007524154,0.001325359,0.002141495,0.002694091,0,0,0,0,0,0,0.010742708,0.001211838,0.014221173,0.008581719,0,0,0.019089716,0.0080076,0,0,0,0
Chloroplast,family,0,0,0,0,0,0,0,0,0,0,0,0.000170008,0,0.000745325,0,0,0,0,0,0,0,0.00146967,0,0,0.020165138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chryseolinea,genus,0.001241417,0,0,0,6.78E-05,0.005467039,0.005443501,0,0,0,0,0.012153789,0,0.003192605,0,0,0.001396312,0,0.003466384,0,0.002129888,0,0,0,0,0,0,0,0,0,0.003622953,0,0,0,0,0,0,0,0,0
Clostridia,class,0,0.000806131,0,0,0,0,0,0,0.00019878,0.000117838,0,0,0,0,0,0,5.19E-05,0,0.001881039,0,0,0,0,0,0.000531067,0.000801122,0,6.07E-05,0,0,0,0,0.000690754,0,0,0,0.009843738,0,0.011791746,0.001168519
Clostridiales,order,0.005256682,0,0,0.002386085,0,0.00530267,0,0.008795965,0.010572384,0.002021104,0.016722484,0,0,0,0,0,0,0.000211909,0.002639867,0.000514295,0,0.003087589,0.001687759,0.013977864,0.006480786,0.011111075,0,0.001393746,0,0,0,0.004346076,0.011905342,0.000230747,0,0.000949991,0.001843575,0.004824161,0.004824046,3.16E-05
Clostridium sensu stricto,genus,0,0.002280663,0,0.002663275,0,0,0,0,0.00035713,0.010962524,0,0,0,0.001271663,0.002663422,0.005531857,0.012933477,0,0,0.002026106,0.000829902,0.017324907,0.006783068,0,0.020323797,0,0.00748974,0.011194722,0,0,0,0.010448394,0,0.009464081,0.003911033,0,0,0.005243047,0,0.005670653
Comamonadaceae,family,0.008457843,0.00479628,0.000102122,0.004208425,0.000152629,0.003201612,0.008052596,0.028960883,0.007044887,0.009959114,0.006756428,0,0.023945797,0.014426272,0.012254482,0.001900787,0.002059282,0.000181238,0.000149628,0.010408655,0.0004962,0.028560656,0.006969262,0.025577227,0.023873795,0.034539813,0.016819014,0.004734261,0.005694929,0.032923664,0.001930558,0.037329942,0.02200389,0.037787444,0.022157316,0.004798576,0.032399301,0.039284451,0.024330972,0.000708832
Corynebacterium,genus,0.029197242,0.018046812,0.005110506,0.010520125,0,0.013928443,0.002230574,0.00937945,0.021225628,0.020125337,0.01325025,0.004022325,0.018474962,0.010384611,0.230487094,0,0.125908806,0.073529535,0,0.004881922,0.169027245,0.007712567,0.117930884,0.042574692,8.37E-05,0.026597258,0.17794415,0.082211837,0.093944145,0.009903725,0.00886974,0.00729927,0.018482401,0.003922703,0.00531988,0.023188753,0.005997401,0.02223815,0.012065054,0
Cupriavidus,genus,0,0,0,0,0,0,0,0,0,0,0.017393588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011452106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cytophagales,order,0.00870097,0.000761571,0,0,0.000384964,0.006242429,0.002712738,0,0.015821516,0.00467782,0.004506447,0.027736682,0,0.004398957,0,0.00102933,0.000903714,0.000270462,0.011752928,0,0.002451983,0,0,0,0,0,0,0.007090203,0,0,0.005203484,0,0,0,0,0.004263738,0,0,0,0.007765566
Delftia,genus,0.01000501,0.006165488,0.000523788,0.006843607,0,0.004105639,0.009503596,0.066699739,0.010447726,0.011976647,0.007339997,0,0.030849715,0.003703576,0.023415487,0.000827253,0.002677808,0.000276039,0.000377633,0.01534962,6.67E-05,0.052565884,0.008918293,0.041711949,0.046974128,0.047452595,0.032959046,0.005798751,0.003956866,0.058688279,0.002792994,0.054596688,0.038985594,0.055517098,0.040578533,0.000635821,0.041422614,0.05876494,0.034051507,0
Dialister,genus,0.010634928,0,8.57E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000236809,0,0,0.058280132,0.026079904,0,0.000750392,0,0.000159679,0.008887116,0,0,0.014174014,0.017765221,0,0,0,0,0,0,0,0.000151023,0.01268524,0.00388558,0
Dietzia,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017433527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dolosigranulum,genus,0,0,0,0,0,0,0.00735864,0,0,0,0,0,0,0,0.351732767,0,0.010340856,0.026056407,0,0,0.056418828,0,0,0,0,0,0,0,0,0,0,0.000295676,0,0,0,0,0.003601434,0,0,0
Dorea,genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000917957,0,0,0.007949094,0,0,0,0.011590842,0,0,0,0,0,0,0,0,0,0
Dyella,genus,0,0,0,0,0,0,0,0,0.004959385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011716861,0,0,0,0,0,0,0,0,0
